Country,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Critical_Cases,Continent
Saint Kitts and Nevis,6607,0,48,0,6559,0,0,North America
Saint Lucia,30215,0,410,0,29805,0,0,North America
Saint Martin,12324,0,63,0,0,12261,0,North America
Saint Pierre Miquelon,3452,0,2,0,2449,1001,0,North America
Saint Vincent and the Grenadines,9674,0,124,0,9493,57,0,North America
Samoa,17006,0,31,0,1605,15370,0,Australia-Oceania
San Marino,26185,0,128,0,26011,46,0,Europe
Sao Tome and Principe,6778,0,80,0,6685,13,0,Africa
Saudi Arabia,841469,0,9646,0,0,831823,0,Asia
Senegal,89053,0,1971,0,87024,58,0,Africa
Serbia,2615054,0,18057,0,2596608,389,0,Europe
Seychelles,51220,0,172,0,51048,0,0,Africa
Sierra Leone,7779,0,126,0,0,7653,0,Africa
Singapore,3006155,0,2024,0,3004131,0,4,Asia
Sint Maarten,11051,0,92,0,10905,54,0,North America
Slovakia,1877605,0,21224,0,1856381,0,23,Europe
Slovenia,1356546,0,7100,0,1349424,22,0,Europe
Solomon Islands,25954,0,199,0,0,25755,0,Australia-Oceania
Somalia,27334,0,1361,0,13182,12791,0,Africa
South Africa,4076463,0,102595,0,3912506,61362,192,Africa
South Sudan,18819,0,147,0,18115,557,1,Africa
Spain,13914811,0,121760,0,13762417,30634,231,Europe
Sri Lanka,672754,0,16897,0,655852,5,0,Asia
St. Barth,5507,0,6,0,0,5501,0,North America
Sudan,63993,0,5046,0,58947,0,0,Africa
Suriname,82588,0,1408,0,0,81180,0,South America
Swaziland,75191,0,1427,0,73116,648,0,Africa
Sweden,2754129,0,27407,0,2726492,230,0,Europe
Switzerland,4453053,0,14452,0,4438309,292,0,Europe
Syrian Arab Republic,57743,0,3165,0,54578,0,0,Asia
Taiwan,10241523,0,19005,0,10222518,0,0,Asia
Tajikistan,17786,0,125,0,17264,397,0,Asia
Tanzania,43223,0,846,0,0,42377,0,Africa
Thailand,4770149,0,34586,0,4692636,42927,0,Asia
Timor-Leste,23460,0,138,0,23102,220,0,Asia
Togo,39572,0,290,0,39281,1,0,Africa
Tokelau,80,0,0,0,0,80,0,Australia-Oceania
Tonga,16950,0,13,0,15638,1299,0,Australia-Oceania
Trinidad and Tobago,191496,0,4390,0,187078,28,0,North America
Tunisia,1153361,0,29423,0,0,1123938,0,Africa
Turkey,17232066,0,102174,0,0,17129892,0,Asia
Turks and Caicos Islands,6752,0,40,0,6709,3,4,North America
Tuvalu,2943,0,1,0,0,2942,0,Australia-Oceania
UAE,1067030,0,2349,0,0,1064681,0,Asia
UK,24910387,0,232112,0,24678275,0,0,Europe
USA,111820082,0,1219487,0,109814428,786167,940,North America
Uganda,172149,0,3632,0,100431,68086,0,Africa
Ukraine,5557995,0,112418,0,5445577,0,0,Europe
Uruguay,1041111,0,7664,0,1030944,2503,18,South America
Uzbekistan,253662,0,1637,0,241486,10539,23,Asia
Vanuatu,12019,0,14,0,11976,29,0,Australia-Oceania
Venezuela,552695,0,5856,0,546537,302,31,South America
Vietnam,11625195,0,43206,0,10640971,941018,0,Asia
Wallis and Futuna,3550,0,8,0,438,3104,0,Australia-Oceania
Western Sahara,10,0,1,0,9,0,0,Africa
Yemen,11945,0,2159,0,9124,662,0,Asia
Zambia,349304,0,4069,0,341316,3919,0,Africa
Zimbabwe,266359,0,5740,0,258888,1731,12,Africa
